Runs,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Start Date Year,Start Date Months
12,22,1,0,54.54,2,lbw,1,Sri Lanka,Dambulla,2008-08-18,2008,8
37,67,6,0,55.22,2,caught,2,Sri Lanka,Dambulla,2008-08-20,2008,8
25,38,4,0,65.78,1,run out,1,Sri Lanka,Colombo (RPS),2008-08-24,2008,8
54,66,7,0,81.81,1,bowled,1,Sri Lanka,Colombo (RPS),2008-08-27,2008,8
31,46,3,1,67.39,1,lbw,2,Sri Lanka,Colombo (RPS),2008-08-29,2008,8
2,2,0,0,100.0,7,not out,1,Sri Lanka,Colombo (RPS),2009-09-14,2009,9
30,41,3,0,73.17,4,caught,2,Australia,Vadodara,2009-10-25,2009,10
10,16,1,0,62.5,3,caught,2,Australia,Mohali,2009-11-02,2009,11
27,19,4,0,142.1,7,bowled,1,Sri Lanka,Rajkot,2009-12-15,2009,12
54,65,7,0,83.07,4,lbw,1,Sri Lanka,Nagpur,2009-12-18,2009,12
107,114,11,1,93.85,4,caught,2,Sri Lanka,Kolkata,2009-12-24,2009,12
91,102,7,0,89.21,3,caught,2,Bangladesh,Dhaka,2010-01-07,2010,1
102,95,11,0,107.36,3,not out,2,Bangladesh,Dhaka,2010-01-11,2010,1
31,46,1,0,67.39,5,caught,1,South Africa,Jaipur,2010-02-21,2010,2
57,71,4,1,80.28,3,caught,2,South Africa,Ahmedabad,2010-02-27,2010,2
0,0,0,0,0.0,3,run out,1,Zimbabwe,Bulawayo,2010-05-28,2010,5
18,29,1,0,62.06,3,caught,1,Zimbabwe,Harare,2010-06-03,2010,6
10,14,1,0,71.42,3,caught,1,Sri Lanka,Dambulla,2010-06-22,2010,6
28,34,4,0,82.35,3,caught,1,Sri Lanka,Dambulla,2010-06-24,2010,6
0,3,0,0,0.0,3,caught,2,Sri Lanka,Dambulla,2010-08-16,2010,8
37,57,5,0,64.91,3,caught,2,Sri Lanka,Dambulla,2010-08-28,2010,8
118,121,11,1,97.52,3,caught,2,Australia,Visakhapatnam,2010-10-20,2010,10
105,104,10,0,100.96,3,caught,1,New Zealand,Guwahati,2010-11-28,2010,11
64,73,8,0,87.67,3,caught,2,New Zealand,Jaipur,2010-12-01,2010,12
63,70,6,2,90.0,3,not out,2,New Zealand,Vadodara,2010-12-04,2010,12
0,2,0,0,0.0,3,caught,2,New Zealand,Bengaluru,2010-12-07,2010,12
2,8,0,0,25.0,3,caught,2,New Zealand,Chennai,2010-12-10,2010,12
54,70,2,1,77.14,3,caught,2,South Africa,Durban,2011-01-12,2011,1
22,34,1,0,64.7,3,run out,1,South Africa,Johannesburg,2011-01-15,2011,1
28,41,5,0,68.29,3,caught,2,South Africa,Cape Town,2011-01-18,2011,1
87,92,7,2,94.56,3,not out,2,South Africa,Port Elizabeth,2011-01-21,2011,1
2,6,0,0,33.33,3,caught,2,South Africa,Centurion,2011-01-23,2011,1
100,83,8,2,120.48,4,not out,1,Bangladesh,Dhaka,2011-02-19,2011,2
34,53,3,0,64.15,4,run out,2,Ireland,Bengaluru,2011-03-06,2011,3
12,20,2,0,60.0,5,bowled,2,Netherlands,Delhi,2011-03-09,2011,3
1,3,0,0,33.33,7,caught,1,South Africa,Nagpur,2011-03-12,2011,3
59,76,5,0,77.63,3,bowled,1,West Indies,Chennai,2011-03-20,2011,3
24,33,1,0,72.72,4,caught,2,Australia,Ahmedabad,2011-03-24,2011,3
9,21,0,0,42.85,4,caught,1,Pakistan,Mohali,2011-03-30,2011,3
35,49,4,0,71.42,4,caught,2,Sri Lanka,Mumbai,2011-04-02,2011,4
